id,charity_name,logo,rating,financial_transparency,results_reporting,cents_to_cause,city,province,website,Tel,main_category,sub_category,new_overview,new_results_and_impact
216,United Way of Fort McMurray,https://www.charityintelligence.ca/media/charity_logos/UWC_LOGO_HORIZ_colour_ID.jpg,4,2,B+,73%,Fort McMurray,AB,www.fmwbunitedway.com,780-791-0077,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way Fort McMurray and Wood Buffalo is a 4-star charity. It is financially transparent, has reasonable overhead costs, and has an above average results reporting grade. The charity has $8.5m in reserve funds, which can cover two years and eight months of program costs.  Founded in 1978, United Way Fort McMurray and Wood Buffalo (UWFM), formerly United Way of Fort McMurray, grants funds to local charities to improve lives and build a stronger community in Fort McMurray and Wood Buffalo. The charity’s three granting programs are: Healthy People Strong Communities, All That Kids Can Be and From Poverty to Possibility. In F2022, its three largest grant recipients were Pastew Place Detoxification Centre ($388k), Salvation Army ($320k), St Aidan’s House Society ($221k). Healthy People Strong Communities  United Way Fort McMurray and Wood Buffalo reports that 13 people in the Wood Buffalo region died of drug overdose in 2020. It adds that Community Mental Health services are highly sought after in the North zone and that social isolation affects the health of 30% of elderly people. As part of its Healthy People Strong Communities program, UWFM invests in programs that help communities by improving equity, connections and overall well-being. In F2022, Pastew Place supported 128 individuals in pre-treatment programs and transitioned 109 clients from pre-treatment to residential treatment centres. St Aidan’s Society delivered 282 Christmas Support Packages to seniors in Fort McMurray, Fort McKay, Anzac, and Fort Chipewyan. Waypoints Community Services Association (granted $122k by UWFM) provided 1,244 hours of counselling to sexual violence survivors. Poverty to Possibility United Way Fort McMurray and Wood Buffalo explains that poverty is a complex issue and its cycle is hard to break. It states that 15% of Wood Buffalo residents are at risk of homelessness. UWFM invests in programs that provide food, shelter, and other services under its From Poverty to Possibility program. In F2022, The Salvation Army provided 18,253 bag lunches to people facing food insecurity. Centre of Hope (granted $188k by UWFM) served 204 individuals through the Outreach Program and completed 85 tax returns for 52 unique clients. Helping Kids Be All They Can Be The charity reports that only 83% of Alberta high school students complete high school within three to five years of entering grade ten. It adds that only 35% of children are developing appropriately in all areas of development. Under its Helping Kids Be All They Can Be program, UWFM supports initiatives that ensure children and youth can thrive. In F2022, Some Other Solutions Society for crisis prevention (granted $193k by UWFM) provided 133 on-to-one mentoring sessions for 39 young people and reached 63 youth through the Community Helpers program. The Hub family resource centre (granted $215k by UWFM) facilitated 111 safe exchanges for children to change caregivers in a stress-free environment. The charity’s Tools for Schools program with Staples provided 250 backpacks to students in the region in F2022. UWFM also owns and operates The Redpoll Centre. The United Way subleases space to sports, arts, culture and social profit organizations.","In F2022, Wood’s Homes transitioned 37 youth back into family homes. Support Through Housing Team transitioned four Centennial House clients into the community and secured housing for five outreach clients. The Children’s Centre reports that 53 healthy babies were born to moms attending its programs. Safe Community Wood Buffalo trained ten new certified passenger seat technicians through its program."
217,"United Way of Kingston, Frontenac, Lennox and Addington",https://www.charityintelligence.ca/media/charity_logos/logo%20-uwkfla.jpg,4,2,A-,80%,Kingston,ON,www.unitedwaykfla.ca,613-542-3166,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way of Kingston, Frontenac, Lennox and Addington is a 4-star charity with reasonable overhead spending and an above average results-reporting grade. It is financially transparent and with its current reserves it can cover 8 months of annual program costs.  Founded in 1941, United Way of Kingston, Frontenac, Lennox and Addington (UWKFLA) grants funds to local charities to improve lives and build a stronger community. UWKFLA reports that there are 17,895 people in Kingston living below the poverty line and 33% of homeless people are under 18 (2013 census data). UWKFLA’s three granting programs are: Helping Kids Be All They Can Be, Moving People from Poverty to Possibility, and Building Strong and Healthy Communities. In F2022, UWKFLA spent $6.4m on programs and granting activities. In total, UWKFLA reports it funded 54 agencies and 115 programs to help 54,629 people. Helping Kids Be All They Can Be accounted for 44% of program spending in F2022. The charity funds agencies that focus on youth learning, community involvement, and physical and emotional wellbeing. United Way Kingston, Frontenac, Lennox, and Addington funded 6 organizations and 12 programs to help 24,034 kids in F2022. Moving People from Poverty to Possibility accounted for 37% of program spending in F2022. The program works to provide access to food, shelters and affordable housing. In F2022, UWKFLA supported 20,336 people through 10 agencies and 20 programs. 817 people at risk of eviction received supports to remain housed in F2022. 1,159 individuals accessed housing supports like shelters, counselling, and transitional housing. In F2022 160,571 meals were served through UWKFLA funded food programs. Building Strong and Healthy Communities accounted for 19% of program spending in F2022. The goal of Building Strong and Healthy Communities is to help people with their physical and mental wellbeing and increase their personal safety. UWKFLA helped 10,259 people through funding 15 agencies and 27 programs in F2022.",UWKFLA had a five-year initiative that focuses on reducing youth homelessness in Kingston that began in 2014. Between 2014 and 2019 there was a 15% increase in youth staying 10 days or less in a homeless shelter and 4% increase in youth staying 61-90 days. There was also a 10% decrease in youth completing a stay between 11-30 days and 5% decrease in youth staying 31-60 days.
218,United Way of Regina,https://www.charityintelligence.ca/media/charity_logos/UWR%20logo.png,4,2,B,73%,Regina,SK,www.unitedwayregina.ca,306-757-5671,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way of Regina is a 4-star charity with an average results reporting grade. It is financially transparent and has reasonable overhead costs. Its reserve funds can cover over a year and a half of grants and program costs. Founded in 1967, United Way of Regina (UWR) funds programs in the Regina area to improve lives and build a strong community. UWR’s grants go toward three main initiatives: All That Kids Can Be, From Poverty to Possibility, and Healthy People, Strong Communities. It also funds programs such as 211 Saskatchewan and Campaign for Reading Success. UWR granted $1.3m to community programs in F2022. Its three largest grants were to Regina Open Door Society ($104k), Cornwall Alternative School ($104k) and Circle Project Association Inc. ($104k). In F2022, United Way of Regina reports that it spent $2.6m on programs. However, Ci calculated that, net of administrative costs, United Way Regina spent $1.8m on its programs. Campaign for Grade Level Reading – 27% of program spending United Way of Regina reports that 26% of the 33,000 students in Regina are not capable readers by grade three. It states that 20% of students do not graduate grade 12 on time. The charity adds that 75% of students who struggle with reading in third grade never catch up. They are four times more likely to drop out of high school. In 2019 UWR joined the Campaign for Grade Level Reading Network. This network improves reading skills and school success, particularly for low-income families. To prepare children for school, United Way of Regina delivered four Kinder Camps to 46 campers. It distributed 460 books and 46 backpacks with school supplies. It also performed 35 eye exams. The campaign added 8,133 new titles to classroom libraries and stocked 4,188 books into book vending machines. 82 individual students who were often absent were assisted by the Attendance Matters Van. The campaign also rolled out nine Summer Success Camps, which supported 124 children. 211 Saskatchewan – 23% of program spending 211 Saskatchewan is a free, confidential service. It connects people to human services by phone, text, or online chat. UWR partners with United Way Saskatoon and Area to fund the project. People contacted 211 Saskatchewan 5,013 times in F2022, a 65% increase from the year prior. 29% of callers contacted 211 Saskatchewan about health care. 60% of these calls were covid-19 related. In F2022, there were 194,839 unique visits to the 211 Saskatchewan website. All That Kids Can Be – 23% of program spending The All That Kids Can Be program supports young children's education and physical and mental health. In F2022, United Way of Regina funded eight organizations that support this cause. These organizations conducted 1,445 counselling session, 1,370 home visits and served 11,713 meals. Healthy People, Strong Communities – 21% of program spending This program connects people to community supports and promotes personal wellbeing and safety. In F2022, United Way of Regina funded nine organizations for this purpose. They conducted 13,677 counselling sessions, made 31,964 referrals and provided 5,007 shelter spaces. The program helped 34,964 people. Poverty to Possibility – 6% of program spending In F2022, United Way of Regina funded two organizations that support those in poverty. This includes services for housing stability, food security, and employment and financial stability. The program distributed 110 educational materials, provided 1,445 counselling sessions and served 2,315 meals.",Unites Way of Regina reports that 100% of Kinder Camp attendees maintained or improved their reading behaviour. It adds that 24 students improved their reading through online mentoring. UWR states that 98% of Summer Success Camp attendees maintained or improved their reading.
219,United Way of Saskatoon & Area,https://www.charityintelligence.ca/media/charity_logos/UWS%20logo.png,4,2,B,73%,Saskatoon,SK,www.unitedwaysaskatoon.ca,306-975-7700,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way of Saskatoon and Area is a 4-star charity. It is financially transparent, has reasonable overhead costs, and average results reporting to donors. With its current reserves, the charity can cover slightly under one year of annual program costs. Founded in 1959, United Way of Saskatoon and Area (UWS) raises funds to improve lives and build caring communities in the Saskatoon region by addressing the most prevalent human service needs. In the short-term, United Way Saskatoon invests in local programs to help meet immediate needs. United Way Saskatoon also participates in research, strategy development, partnerships, and advocacy to help create long-term change. Its grants and programs in F2022 focused in three areas: Building Strong Communities (40%), Moving People from Poverty to Possibility (38%) and Helping Kids Be All That They Can Be (22%). United Way Saskatoon’s Building Strong Communities program supports mental health initiatives and aims to help connect people with their community. In F2022, one UWS-supported agency delivered 5,054 hours of counselling. UWS partially funded 211 Saskatchewan, a service that connects individuals to human services in the region through phone, email, or text. In F2022, 211 Saskatchewan received a total of 6,388 inquiries, of which 1,685 were mental health related. In the same fiscal year, 221 Saskatchewan’s website received 237,701 unique visits. United Way of Saskatoon’s Moving People from Poverty to Possibility's focus is to ensure that everyone has access to the most basic human needs, such as food, shelter, and transportation. UWS funds Journey Home, a Housing-First program that began in 2014. Since its start, 110 chronically homeless individuals have been housed. In F2022, 74 clients received Housing-First case management care, and 87 participants received social and community reintegration services.  In F2022, UWS offered 12 workshops focusing on Registered Education Saving Plans and tax basics. Its third area of focus is Helping Kids Be All They Can Be. The charity’s goals are to help children and youth do well in school, improve access to early childhood learning and assist youth in transitioning to post-secondary education and adulthood. In F2022, UWS had 138 mentors in its school mentoring program. UWS also reports that 1,440 participants joined the summer reading tents initiative. In F2022, UWS ran six Summer Success literacy camps that were attended by 100 students.","In F2022, UWS helped provide 13,050 meals to individuals experiencing homelessness. It also distributed 13,591 meals and snacks to youth and children during the months of July and August 2021. Summer Success literacy camps had a 69% attendance rate in F2022."
220,United Way of the Lower Mainland,https://www.charityintelligence.ca/media/charity_logos/logo-uwlm.jpg,4,2,B+,84%,Burnaby,BC,www.uwlm.ca,604-294-8929,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief, Elderly services","United Way Lower Mainland merged with five other United Ways in British Columbia in July 2021 to become United Way BC. United Way BC is a 4-star charity with overhead costs in the reasonable range and an average results reporting grade. This 2020 Charity Intelligence report is only on United Way Lower Mainland that serves the greater Vancouver area. Founded in 1930, United Way of the Lower Mainland (UWLM) grants money to local charities in the greater Vancouver area. This includes the Sea to Sky corridor, Sunshine Coast, and Fraser Valley. Grants fit into the charity’s three focuses: helping kids and youth succeed, healthy aging for seniors, and building healthy connected communities. Besides grants to local agencies, UWLM also spends money in-house on these focus areas. Seniors-focused programs received 53% of UWLM’s program and grants spending in F2020. Money goes to programs that help BC seniors stay at home longer and remain socially connected, active, and engaged in their communities. UWLM receives provincial funding to manage Better at Home, a program that helps seniors with simple day-to-day tasks such as housekeeping, grocery shopping, yard work, and social visits. Local agencies deliver these services. UWLM also distributes Community-Based Seniors’ Services (CBSS) grants to local charities that deliver seniors programs. This includes Active Aging, a program that encourages seniors to remain physically and socially active and make healthy lifestyle choices. UWLM manages the Active Aging program. In its F2020 annual report, UWLM states that it reached over 17,000 seniors through Better at Home and Active Aging (as well as Food for All), down from 66,000 seniors in F2019. Kids-focused programs received 24% of UWLM’s program and grants spending in F2020. The charity funds after-school programs such as School’s Out, leadership programs like Future Leaders that focus on skills development, and funding for post-secondary education through the Youth Futures Education Fund. UWLM funded 29 Schools Out programs and almost 2,000 other out-of-school programs in F2020. More than 43,500 kids participated in after-school programs during the year. Kids received homework help, physical activity, mentoring, and social and emotional support services. This is down from over 113,000 kids reached in F2019. United Way of the Lower Mainland’s COVID-19 response was 8% of program and grants spending in F2020. The charity is working with 24 designated Better at Home COVID response hub agencies to connect local volunteers with seniors who need help. It also created Local Love Food Hubs in 39 neighbourhoods across the Lower Mainland and Fraser Valley to help feed kids who relied on meal programs offered in schools that have been shut down. To combat the elevated risk of social isolation and loneliness, UWLM expanded its Hi Neighbour initiative to 25 neighbourhoods. Communities-focused programs received 5% of program and grants spending in F2020. Hi Neighbour is the charity’s main initiative that encourages local BC residents to socialize and meet new people. There are eight Hi Neighbour communities across Metro Vancouver. They are located in Burke Mountain, Clayton Heights, Cedar Valley, Lower Lonsdale, Edmonds, Sunset, Willoughby, and Sardis. The charity reports that over 68,100 people benefitted from projects in their neighbourhoods that addressed social isolation and building connections (up from 35,000 people in F2019). The remaining 10% of program and grants spending in F2020 was on Community Services activities (social planning,  community development, research, advocacy and engagement) and other grants.","According to UBC’s Human Early Learning Partnership, the number of kids enrolled in structured after-school activities in the Lower Mainland has increased 35% (from 50% to 85%) from 10 years ago because of after-school programs funded by UWLM."
221,"United Way Saint John, Kings & Charlotte",https://www.charityintelligence.ca/media/charity_logos/UW_LOGO_HORIZ_colour_ID-1.jpg,4,2,B+,81%,Saint John,NB,www.unitedwaysaintjohn.com,506-658-1212,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way of Saint John, Kings & Charlotte is a 4-star charity. It is financially transparent, has reasonable overhead costs, and an above average results reporting grade.  Founded in 1959, United Way of Saint John, Kings, and Charlotte (UWSJ) works with its partner organizations to identify and address social problems within its community. UWSJ's mission is to improve lives and build community by engaging individuals to come together. UWSJ's three major granting buckets are: All That Kids Can Be, From Poverty to Possibility, and Heathy People, Strong Communities. In F2022, UWSJ granted $1.2m to 18 partner organizations, including $88k in donor-designated grants.  UWSJ reports that 24% of children in its school district scored below the appropriate reading level and that 30% of children in Saint John live in poverty. In F2022, 807 youth participated in after school and summer programs funded by UWSJ. 358 kids benefitted from a mentoring relationship and 119 youth had the support to complete high school. Through the From Poverty to Possibility granting program, UWSJ supports organizations that help the single parent families in Saint John and Charlotte County that live in poverty. UWSJ hopes to break the cycle of poverty and empower mothers to see a better future for themselves and their children. In F2022, 69 women and their babies accessed support, housing, educational, and health services. 49 women participated in training to build their entrepreneurial and business skills, and 53 women attended programs to build their self-esteem as well as leadership and stress management skills. Healthy People, Strong Communities focuses on preventing and helping people affected by domestic violence or mental illness. UWSJ reports that New Brunswick has the second highest domestic violence rate among Canadian provinces and Saint John has the highest violence rate against young girls in Canada. UWSJ also reports that one in five New Brunswickers face a mental illness in their lifetime. In F2022, UWSJ provided 5,484 rides to employment, school, and other services to 314 individuals. 219 women received support and mentoring to help maintain their recovery from addiction. 365 individuals accessed 2,184 subsidized counselling sessions. 559 parents and children participated in a weekly program to improve social and emotional skills.",
222,United Way Southern Vancouver Island,https://www.charityintelligence.ca/media/charity_logos/UWGV%20logo.jpeg,4,2,B,69%,Victoria,BC,www.uwsvi.ca,250-385-6708,Social Services,"Mental wellness, Youth programs, LGBTQ+, Rehabilitation centers and addiction services, Elderly services","United Way Southern Vancouver Island is a 4-star charity. It is financially transparent and has reasonable overhead costs. It has an average results reporting grade. Founded in 1937, United Way Southern Vancouver Island (UWSVI), formerly United Way of Greater Victoria, grants funds to local charities to improve lives and build a stronger community. UWSVI’s four main grant areas are Mental Health and Addictions; Families; Seniors; and Diversity, Equity, and Inclusion. In F2022, UWSVI granted $3.3m. Of this amount, $800k was donor-designated. The remaining $2.5m in grants is divided into the four main grant areas Mental Health and Addiction - 39%. In F2022, UWSVI granted to 28 agencies that run 39 programs. 9,743 kids, youth, adults, and seniors accessed affordable counselling services. 8,669 individuals accessed bc211, a 24/7 help-line that connects people to community, health and government resources for help. Families - 37%. In F2022, 43,960 people benefitted from 31 programs run by 26 agencies. 7,973 children, youth and their families accessed nutritious and affordable food, skills training courses, housing supports, and intervention services to help them navigate crisis situations. Seniors - 20%. UWSVI granted to 5 agencies that run 2 programs in F2022. These programs helped 1,151 people. It also provided 17,000 wellness visits to ensure seniors were staying safe and healthy. Diversity, Equity, and Inclusion - 4%. In F2022, UWSVI-funded programs provided 6,684 people with mental health challenges and disabilities as well as those who have faced marginalization or discrimination based on race or sexual and/or gender identity with safe, welcoming gathering spaces and supports to maintain a healthy lifestyle while reducing isolation.","UWSVI reports that many seniors experience extreme loneliness and isolation, malnutrition or food insecurity, mobility issues and limited income that greatly impacts their physical, mental, and emotional well-being. In F2022, United Way’s More than Meals program delivered 50,000 meals to 600 seniors."
223,United Way Waterloo Region Communities,https://www.charityintelligence.ca/media/charity_logos/UWWRCLogo_colour_transparentbkg.png,4,2,B+,73%,Kitchener,ON,www.uwaywrc.ca,519-888-6100,Social Services,"Homelessness and housing assistance, Food banks and hunger relief, Mental wellness","Founded in 1981, United Way of Waterloo Region Communities (UWWRC) grants funds to local charities to improve lives and build a stronger community in Cambridge, Kitchener, Waterloo, Wilmot, Woolwich, Wellesley and North Dumfries. In 2017, United Way Kitchener-Waterloo and Area combined with United Way Cambridge and North Dumfries to become United Way Waterloo Region Communities. UWWRC’s three granting programs are Meeting Basic Needs, Reducing Isolation, and Mental Health. In F2021, UWWRC also created new programs to help support those impacted by covid-19. In F2021, UWWRC granted $4.5m to 126 organizations.  UWWRC’s Covid-19 Emergency Relief programs accounted for 43% of program spending in F2021. Emergency Community Support Fund and New Horizons for Seniors Fund are two new programs created to help charities and seniors impacted by covid-19. The programs are funded by the Government of Canada.  Of the remaining community grants, 24% was for Meeting Basic Needs, which aims to help everyone access housing, food and health care as well as literacy skills and financial security. UWWRC reports the program helped 26,383 people through grants to 22 agencies from October 2020 to March 2021. This includes over 3,000 First Nations Metis and Inuit peoples who were connected with local vaccine clinics.  Reducing Isolation accounted for 21% of grants, a program that aims to help people maintain connections with family and friends. The charity reports 22,377 people were helped through 13 programs and agencies from October 2020 to March 2021. 100 women and girls were reached through online presentations addressing social inclusion and learning opportunities, with about half of the participants being from racialized communities.  Mental Health accounted for 10% of grants, a program that aims to build a stronger community through mental health supports. Between October 2021 and March 2021, 8,034 people were helped through 10 organizations. One counselling agency grantee provided 1,152 hours of counselling to 465 clients. A further 147 individuals in an emergency shelter were connected to a mental health professional.  United Way of Waterloo Region Communities also reports a community initiatives program that accounts for the final 2% of program spending.","United Way Waterloo Region Communities report its Emergency Community Support Fund served 413,585 meals and sheltered 462 people who otherwise would not have basic food and shelter needs met."
224,United Way Winnipeg,https://www.charityintelligence.ca/media/charity_logos/UWWN_colour_72.jpg,4,2,B,79%,Winnipeg,MB,www.unitedwaywinnipeg.ca,204-477-5360,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way Winnipeg is a 4-star charity. It is financially transparent and has reasonable overhead costs, but has a below-average results reporting grade of B . Founded in 1965, United Way Winnipeg (UWW) grants funds to local charities to improve lives and build stronger communities in Winnipeg.  UWW runs three main programs: All That Kids Can Be; From Poverty to Possibility; and Healthy People, Strong Communities.  UWW funded 43 agencies as part of its All That Kids Can Be program. UWW reports that 20% of kids in Manitoba live in poverty. It funded 37 youth counseling and crisis intervention services. It also supported 33 out-of-school and summer programs.  In F2022, UWW provided funding to 16 agencies as part of its From Poverty to Possibility program. According to UWW, 12% of people in Winnipeg live in poverty. The charity supported 33 life and employment skills services, 25 agencies helping homeless people, and 18 money management programs.  UWW funded 59 agencies under its Healthy People, Strong Communities program. UWW reports that in 2020, drug overdose deaths in Winnipeg increased by 87%. The charity funded 88 counseling, wellness, and education services in F2022. It also supported 30 mental health and addiction services.","United Way Winnipeg runs Huddle Youth Hubs with the Government of Manitoba. These are a space where youth can access medical care, mental health/addiction counseling, and other community services. In F2022, six new Huddle Youth Hubs opened. Since 2021, these hubs have prevented 166 kids from entering care. The hubs also reunited 41 children with their parents."
225,United Way/Centraide Windsor-Essex County,https://www.charityintelligence.ca/media/charity_logos/UWWE%20logo.png,4,2,B,76%,Windsor,ON,www.weareunited.com,519-258-0000,Social Services,"Youth programs, Mental wellness, Homelessness and housing assistance, Food banks and hunger relief","United Way of Windsor-Essex (UWWE) is a good, 4-star charity. It has an average results reporting grade and reasonable overhead costs. Charity Intelligence has not assessed (n/r) United Way of Windsor-Essex's impact.  Founded in 1962, the United Way of Windsor-Essex (UWWE) is dedicated to improving the quality of life in its community and raises funds to address human service needs. It works in conjunction with local front-line charities to help combat poverty in Windsor-Essex County. The charity does not provide a full breakdown of its spending on its programs. The WE-STEAM program helps improve performance and confidence in STEAM subjects at school. The program empowers students to learn about circuits and energy, explore the solar system, and use coding to create games and program robots. WE-STEAM was embedded in nine local after-school programs and engaged 369 kids over the past three years. In F2021, UWWE supported 405 students through local after-school programs. The programs provided online programming resources to kids and regularly delivered books, activity kits and food to local students. The charity's On Track to Success (OTTS) program provides food, mental health counselling, transportation and access to technology to help students graduate high school. In F2021, the program supported a total of 96 students. In May 2020, United Way Canada partnered with the Government of Canada to support vulnerable Canadians during the covid-19 pandemic. United Way Canada served 25,142 individuals and funded 52 local projects, 73% of which were new programs and partners not currently supported by United Way. It also made 23,933 social inclusion phone calls and 28,006 home care visits.","According to an independent study by the University of Windsor on the On Track to Success program, 85% of students graduated high school on time in four years, which is 7.5% higher than the provincial average."
226,Université de Montréal,https://www.charityintelligence.ca/media/charity_logos/p005_1_01udem.jpg,5,2,A-,83%,Montreal,QC,www.umontreal.ca,514-343-6111,Education,Schools and education institutions,"Université de Montréal is a top-rated five-star charity and one of Canada's largest charities in terms of donations. As with most large universities, it has a high results reporting grade and is financially transparent. The charity has overhead spending within Ci's reasonable range. Founded as the Université de Laval a Montréal in 1878, Université de Montréal is a public research university in Montreal, Québec. The university includes three schools: l’Université de Montréal, l'École Polytechnique, and HEC Montréal.  The charity has 13 faculties and schools that offer 600 programs to students. The university’s main charitable programs are Education, Research, and Renovations, for which it does not provide a spending breakdown. Université de Montréal reports that it had 69,172 students enrolled in fall 2021, including 45,517 students at Université de Montréal, 14,169 students at HEC Montréal, and 9,486 students at L’École Polytechnique. According to the charity, undergraduate students make up 73% of the student body and graduate students make up 27%. The university had 48,778 full-time students and 20,394 part-time students. Université de Montréal had 10,004 international students. The charity has 465 research units and is home to 145 Canada Research Chairs, two Canada Excellence Research Chairs, and one Canada 150 Research Chair. Université de Montréal also has two university-hospital research centres. The university reports that its library has three million books and documents. The charity is planning to open its new Brossard campus on the South Shore of Montreal in fall 2022.","According to the Times Higher Education, Université de Montréal ranks 88th among the world’s best universities. The charity ranks 47th in the world on the Times Higher Education’s Global University Employability Ranking. In F2021, Université de Montréal reports that it gave out 21,054 degrees."
227,University of Alberta,https://www.charityintelligence.ca/media/charity_logos/u%20of%20a%20logo.png,4,2,A+,93%,Edmonton,AB,www.ualberta.ca,780-492-3111,Education,Schools and education institutions,"University of Alberta (U of A) is a public research university in Edmonton. It was founded in 1908 by Alexander Cameron Rutherford, the first premier of Alberta, and Henry Marshall Tory, its first president. U of A’s original campus sits atop the North Saskatchewan River valley, North America’s largest stretch of urban parkland. The university now has five campuses, including its original North Campus, a South Campus, a French-language campus, a downtown campus, and a rural liberal arts campus. U of A offers more than 200 undergraduate programs and 500 graduate programs. In F2021, U of A spent 61% of program costs on academic programming, 28% on research, 6% on student and teaching awards, and 4% on ancillary services. During the 2019-2020 academic year, U of A had 40,649 enrolled students. This included 32,424 undergraduate students from 73 countries and 8,225 graduate students from 70 countries. Around 15% of undergraduate students and 40% of graduate students are international students. In total, University of Alberta offers 7,867 courses with an average class size of 37 students. University of Alberta reports that it has more than 800 research and teaching agreements with institutions in 50 countries. Its faculty includes 41 recipients of the 3M National Teaching Fellowship, the highest number of any university in Canada. U of A alumni have collectively founded more than 70,000 organizations around the world, creating over 1.5 million jobs and generating annual revenues of nearly $350 billion. One third of these organizations are non-profit or have a cultural, social, or environmental mission.",University of Alberta has not yet posted its 2021 annual report at the time of this update. Certain results refer to 2020.
228,University of British Columbia,https://www.charityintelligence.ca/media/charity_logos/UNBC_colour_72.jpg,5,2,A,79%,Vancouver,BC,www.ubc.ca,604-822-2211,Education,Schools and education institutions,"The University of British Columbia is a top rated 5-star charity. As with most Universities, it has a high results reporting grade and is financially transparent. The charity has funding reserves that can cover less than four months of program costs.  Founded in 1908, The University of British Columbia (UBC) is a global institution focused on teaching, learning, and research. UBC’s vision is to inspire people, ideas, and actions to create a better world. UBC has a reputation for excellence in research and learning in a range of fields, including arts, sciences, medicine, law, and business. In 2022, Times Higher Education ranked UBC as the 37th best university in the world. UBC’s two main programs are education and research.  In the 2021-2022 academic year, UBC had 70,757 total students (58,206 undergraduates and 12,551 graduates) across its two campuses. The Vancouver campus had 58,768 students (83% of total students) students and the Okanagan campus had 11,989 students (17% of total students). Out of these students, 19,413 were international students from over 160 different countries. UBC houses 19 faculties and two colleges. In 2021, UBC granted 15,726 degrees and had 235 companies created as spin-offs of UBC research.   Through its research program, UBC received $759.1 million in research funding in F2021. The money received funded a total of 10,116 projects with 1,424 of these projects in collaboration with industry partners. UBC’s research program has 199 Canada Research Chairs, 3 Canada Excellence Research Chairs, and 289 Royal Society of Canada fellows.","At the time of this report, UBC’s alumni base consists of 8 Nobel prize winners, 3 Canadian prime ministers, 22 3M national teaching fellows, 289 Royal Society of Canada fellows, and 74 Rhodes Scholars."
229,University of Calgary,https://www.charityintelligence.ca/media/charity_logos/University_of_Calgary_logo.jpg,5,2,A,83%,Calgary,AB,www.ucalgary.ca,403-220-5110,Education,Schools and education institutions,"University of Calgary is a top-rated 5-star charity. As with most Universities, it has a high results reporting grade and is financially transparent. The charity can cover just over 11 months of program costs with its current funding reserves. In 1966, the University of Calgary (UCalgary) was granted autonomy from the University of Alberta (founded 1908). The University’s mission and goals include sharpening focus on research and scholarship, enriching the quality and breadth of learning, and fully integrating with the community. Times Higher Education ranked the University of Calgary 8th in its 2022 national university rankings. UCalgary has 14 faculties offering more than 250 academic programs.  University of Calgary has over 26,000 undergraduate students and over 6,000 graduate students. In F2021, University of Calgary had over 1,800 academic staff members. UCalgary has 7.8 million items in library collections and 18 Rhodes scholars to date. The school is currently ranked the 6th top research university in Canada in terms of sponsored funding research. In F2021, the University gave out 5,114 undergraduate degrees and 2,091 graduate degrees. UCalgary also reports that it has 11,071 alumni who are actively engaged in the community.   University of Calgary is home to 169 research chairs, including the Canada Excellence Research Chair in Materials Engineering for Unconventional Oil Reservoirs. The University received $497.1m in sponsored research funding in F2021. It focuses on six global priority research areas – Energy Innovations For Today and Tomorrow; Human Dynamics in a Changing World; Engineering Solutions for Health; New Earth-Space Technologies; Infections, Inflammation and Chronic Diseases; and Brain and Mental Health. In F2021, UCalgary’s research resulted in 6,701 publications and 27,332 citations.",University of Calgary reported a 95.4% undergraduate retention rate and a 76.4% undergraduate graduation rate in F2021. The university also reported a 93.5% employment rate in F2020.
230,University of Guelph,https://www.charityintelligence.ca/media/charity_logos/uofg%20logo.png,4,2,A-,75%,Guelph,ON,www.uoguelph.ca,519-824-4120,Education,Schools and education institutions,"University of Guelph is a 4-star charity with an above-average results reporting grade. It is financially transparent and has reasonable overhead costs. Excluding donor-endowed funds, its funding reserves can cover program costs for three months. Founded in 1964, University of Guelph (U of G) is the union of Ontario Veterinary College, Ontario Agricultural College, and Macdonald Institute. The University now consists of seven colleges that conduct teaching and research in physical and life sciences, business, arts, social sciences, and agricultural and physical sciences. The University has a regional campus in Ridgetown, Ontario, and offers diploma and degree programs at the University of Guelph-Humber, a joint venture with Humber College in Toronto. In the 2021-2022 school year, University of Guelph had 29,290 students enrolled in undergraduate and graduate studies. Of these, 26,152 were undergraduate and 3,138 were graduate students. There were over 1,861 international students from 140 countries. U of G offers more than 80 undergraduate programs and more than 100 graduate and post-doctoral programs. In F2022, the University gave out $54.3m in scholarships and bursaries. Additionally, the University of Guelph has more than 190,000 alumni living in more than 150 countries. University of Guelph’s Office of Research received $183 million in research funds in F2021. The university has 14 research stations, and it has an agreement with the Ministry of Agriculture, Food and Rural Affairs. In F2022, U of G had nine Tier 1 and 14 Tier 2 Canada Research Chairs. There were also 29 endowed and externally funded research chairs. University of Guelph is known as Canada’s Food University for its programs and research in agriculture.","In 2022, University of Guelph published an economic impact assessment by Ernest & Young. The assessment states that the University of Guelph has a total impact of $8.6 billion to Canada’s economy, sustaining 21,400 jobs nationally."
